"entityTypeAttributeId","entityTypeId","entityTypeAttributeCode","entityTypeAttributeName","entityTypeAttributeUnit","providerId","providerEventType","active"
"1102","5","navigation.depth","Depth","m","8","environment.depth.belowTransducer","Y"
"1053","5","navigation.headingMagnetic","Hdg Mag","rad","8","navigation.headingMagnetic","Y"
"1054","5","navigation.headingTrue","Hdg True","rad","8","navigation.headingTrue","Y"
"1052","5","navigation.position","Position","","8","navigation.position","Y"
"1056","5","navigation.speedOverGround","SOG","m/s","8","navigation.speedOverGround","Y"
"1057","5","navigation.speedThroughWater","STW","","8","navigation.speedThroughWater","Y"
"1065","5","propulsion.main.oilPressure","Oil Press","","8","propulsion.main.oilPressure","Y"
"1063","5","propulsion.main.revolutions","RPM","","8","propulsion.main.revolutions","Y"
"1064","5","propulsion.main.temperature","Eng Temp","","8","propulsion.main.temperature","Y"
"1069","5","tanks.freshWater.0.currentLevel","Fresh Water","","8","tanks.freshWaterTank.level","Y"
"1068","5","tanks.fuel.0.currentLevel","Fuel","","8","tanks.fuelTank.level","Y"
"1070","5","tanks.wasteWater.0.currentLevel","Waste Water","","8","tanks.wasteWaterTank.level","Y"
"1121","6","electrical.batteries.main.voltage","Batt Voltage","V","8","electrical.dc.houseBattery.voltage","Y"
"1122","6","electrical.dc.houseBattery.current","Batt Current","A","8","electrical.dc.houseBattery.current","Y"
"1114","6","environment.outside.pressure","Atm Pressure","Pa","8","environment.outside.pressure","Y"
"1113","6","environment.outside.temperature","Air Temp","K","8","environment.outside.temperature","Y"
"1116","6","environment.water.seawater.pressure","Water Press","Pa","8","environment.water.seawater.pressure","Y"
"1117","6","environment.water.seawater.temperature","Seawater Temp","K","8","environment.water.seawater.temperature","Y"
"1112","6","environment.water.temperature","Water Temp","K","8","environment.water.temperature","Y"
"1111","6","environment.wind.angleApparent","Wind Angle","rad","8","environment.wind.angleApparent","Y"
"1110","6","environment.wind.speedApparent","Wind Speed","m/s","8","environment.wind.speedApparent","Y"
"1107","6","navigation.courseOverGroundTrue","COG","rad","8","navigation.courseOverGroundTrue","Y"
"1115","6","navigation.depth","Depth","m","8","environment.depth.belowTransducer","Y"
"1105","6","navigation.headingMagnetic","Hdg Mag","rad","8","navigation.headingMagnetic","Y"
"1106","6","navigation.headingTrue","Hdg True","rad","8","navigation.headingTrue","Y"
"1104","6","navigation.position","Position","","8","navigation.position","Y"
"1108","6","navigation.speedOverGround","SOG","m/s","8","navigation.speedOverGround","Y"
"1109","6","navigation.speedThroughWater","STW","m/s","8","navigation.speedThroughWater","Y"
"1120","6","propulsion.main.oilPressure","Oil Press","Pa","8","propulsion.main.oilPressure","Y"
"1118","6","propulsion.main.revolutions","RPM","Hz","8","propulsion.main.revolutions","Y"
"1119","6","propulsion.main.temperature","Eng Temp","K","8","propulsion.main.temperature","Y"
"1124","6","tanks.freshWater.0.currentLevel","Fresh Water","ratio","8","tanks.freshWaterTank.level","Y"
"1123","6","tanks.fuel.0.currentLevel","Fuel","ratio","8","tanks.fuelTank.level","Y"
"1125","6","tanks.wasteWater.0.currentLevel","Waste Water","ratio","8","tanks.wasteWaterTank.level","Y"
"1087","7","electrical.batteries.main.voltage","Batt Voltage","V","8","electrical.dc.houseBattery.voltage","Y"
"1088","7","electrical.dc.houseBattery.current","Batt Current","A","8","electrical.dc.houseBattery.current","Y"
"1083","7","environment.outside.pressure","ENV Pressure","Pa","8","environment.outside.pressure","Y"
"1082","7","environment.outside.temperature","Air Temp","K","8","environment.outside.temperature","Y"
"1092","7","environment.water.seawater.pressure","Water Press","Pa","8","environment.water.seawater.pressure","Y"
"1093","7","environment.water.seawater.temperature","Seawater Temp","K","8","environment.water.seawater.temperature","Y"
"1081","7","environment.water.temperature","Water Temp","K","8","environment.water.temperature","Y"
"1080","7","environment.wind.angleApparent","Wind Dir","rad","8","environment.wind.angleApparent","Y"
"1079","7","environment.wind.speedApparent","Wind Speed","m/s","8","environment.wind.speedApparent","Y"
"1076","7","navigation.courseOverGroundTrue","COG","rad","8","navigation.courseOverGroundTrue","Y"
"1103","7","navigation.depth","Depth","m","8","environment.depth.belowTransducer","Y"
"1074","7","navigation.headingMagnetic","Hdg Mag","rad","8","navigation.headingMagnetic","Y"
"1075","7","navigation.headingTrue","Hdg True","rad","8","navigation.headingTrue","Y"
"1073","7","navigation.position","Position","","8","navigation.position","Y"
"1077","7","navigation.speedOverGround","SOG","m/s","8","navigation.speedOverGround","Y"
"1078","7","navigation.speedThroughWater","STW","","8","navigation.speedThroughWater","Y"
"1086","7","propulsion.main.oilPressure","Oil Press","","8","propulsion.main.oilPressure","Y"
"1084","7","propulsion.main.revolutions","RPM","","8","propulsion.main.revolutions","Y"
"1085","7","propulsion.main.temperature","Eng Temp","","8","propulsion.main.temperature","Y"
"1090","7","tanks.freshWater.0.currentLevel","Fresh Water","","8","tanks.freshWaterTank.level","Y"
"1089","7","tanks.fuel.0.currentLevel","Fuel","","8","tanks.fuelTank.level","Y"
"1091","7","tanks.wasteWater.0.currentLevel","Waste Water","","8","tanks.wasteWaterTank.level","Y"
